Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22,Lap23,Lap24,Lap25,Lap26,Lap27,Lap28,Lap29,Lap30,Lap31
Washington Univ - St Louis,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Univ - Ontario Canada,44,82.952,78.290,78.367,77.067,78.411,75.198,94.873,73.033,75.457,73.012,71.557,73.187,71.114,73.085,,,,,,,,,,,,,,,,,1075.603
Univ of Wisconsin - Madison,45,62.547,56.391,57.055,57.113,55.998,56.392,55.413,55.306,57.188,55.622,56.462,55.985,54.355,55.336,DC,56.802,56.153,54.487,54.042,53.230,53.877,60.175,58.883,55.043,57.398,56.971,55.495,55.177,56.009,,1574.905
Univ of Pennsylvania,46,68.573,64.870,64.347,63.550,63.848,69.690,66.737,62.925,61.375,60.713,69.988,62.975,62.795,73.035,DC,72.697,70.785,70.273,67.634,66.931,66.866,67.145,77.740,70.015,63.599,62.892,62.292,64.173,62.109,,1860.572
Purdue University,49,61.436,56.462,56.875,56.071,57.249,54.691,56.133,53.979,53.925,54.057,53.718,53.330,53.820,54.717,DC,60.483,54.844,51.882,62.171,57.273,53.931,55.222,51.981,54.479,52.777,55.402,52.837,57.916,54.206,,1551.867
Western Michigan Univ,50,63.306,63.188,60.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.113
Michigan State Univ,51,64.392,65.807,60.632,62.474,58.714,58.371,60.780,58.654,57.837,57.157,63.430,58.551,60.394,57.748,DC,59.755,69.529,59.076,60.931,57.924,58.377,59.714,60.505,56.880,56.994,58.319,57.901,62.197,63.142,,1686.185
Rose Hulman Inst of Tech,53,66.761,62.791,109.117,62.809,62.201,61.791,63.454,61.220,60.768,63.958,59.500,59.645,59.912,60.153,59.056,,,,,,,,,,,,,,,,973.136
Worcester Polytechnic Inst,55,84.948,83.832,72.854,89.040,74.073,78.731,74.884,78.805,72.430,77.094,70.305,72.425,71.537,73.105,DC,80.864,75.333,77.381,89.760,72.061,82.019,75.557,71.434,73.496,74.818,74.470,74.947,77.228,79.182,,2152.613
Clarkson University,56,88.599,75.452,74.106,90.221,83.137,76.431,,,,,,,,,,,,,,,,,,,,,,,,,487.946
York College of Pa,57,78.416,78.820,81.330,79.273,84.912,,,,,,,,,,,,,,,,,,,,,,,,,,402.751
Louisiana State University,58,88.474,87.529,79.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.602
Rensselaer Polytechnic Inst,59,68.122,64.884,65.505,61.492,63.033,59.643,60.536,62.280,58.829,59.304,60.291,60.716,,,,,,,,,,,,,,,,,,,744.635
Rutgers Univ,63,65.331,70.105,63.183,65.120,61.123,68.759,61.451,61.587,63.679,60.756,65.931,61.710,62.087,61.865,DC,78.832,82.461,76.673,68.293,72.029,72.036,96.383,77.596,82.150,77.036,79.956,119.761,,,,1875.893
